loss,acc
2.2444470463876107,19
2.0810098356841924,33
1.637354012783207,48
1.1059923671750298,69
1.1093926361580306,63
0.7322743353304182,78
0.9121959877123165,73
0.58677307156034,76
0.7860194807542942,74
0.5062956477980181,83
0.634184361776089,81
0.7227183355757281,75
0.460316604207231,86
0.40878151131592305,89
0.43593067632274596,85
0.553326332988953,82
0.4933232886302092,86
0.568600570784753,85
0.5210258622856635,84
0.5828325291698416,81
0.3274821014457718,89
0.6346289584522249,77
0.35637671141516963,91
0.37123128709090836,89
0.4847883780732713,83
0.4392631464418903,90
0.3666621979711532,87
0.46662527569057205,83
0.6419525568009322,82
0.48568541330950155,87
0.5699669746878661,87
0.3879413330381623,90
0.41750276164627487,92
0.4139608052713998,87
0.42427540112619766,85
0.3316961910305243,91
0.3556992430784836,89
0.43623861142581233,87
0.502282739211884,88
0.39460396890523713,89
0.3487735836509671,90
0.4672692393267812,89
0.6586130450853799,84
0.4352441893494784,87
0.32496150006241536,91
0.3771033060770157,90
0.4832417059520058,87
0.3655248036071228,89
0.37393053308408514,90
0.3452904957333227,91
0.47745085968201,90
0.42670761217353126,85
0.3033278819062122,91
0.36688738673904714,88
0.3406794174034934,86
0.3556702927571502,91
0.46703161018970385,86
0.2614225157950613,94
0.35845173209191805,89
0.5805084521230515,85
0.3368592390513653,90
0.4873160207331925,90
0.4387237435240969,86
0.6315294501974383,83
0.27183768555522386,92
0.5719019251370223,80
0.39296415590713657,90
0.4061059697446829,90
0.35006048009888324,88
0.2894783268296656,93
0.3199913964642849,88
0.30971390905680574,95
0.16044732332776768,96
0.3659280316222088,92
0.41385623022106116,86
0.3125059971926778,91
0.4413773440513635,88
0.2895300732108282,91
0.3533588855040179,90
0.24708969530900485,95
0.4381051505083438,87
0.35397403873512445,94
0.36379159056226945,87
0.2651568921810275,91
0.37140640897347477,89
0.4736216950012583,87
0.31794902204917186,89
0.35785183845473073,88
0.2993133432300232,92
0.2719858792709842,92
0.4261895598666121,89
0.3960949941084887,88
0.38284272410050874,89
0.47046452511721926,86
0.3296143705689088,89
0.3873818026944139,90
0.2907902903955507,93
0.3934648180247192,90
0.2524483328791752,93
0.34058953507329676,89
0.34820277985918907,90
0.2679988953381325,93
0.31668531770119196,93
0.40241226647113204,89
0.3694843093408516,89
0.3232849549708145,93
0.3527309019326973,87
0.2792226657456455,92
0.26683052444638095,95
0.3458138771330242,92
0.261258182237162,92
0.33419138670536197,86
0.1498977488033716,96
0.26266360349983514,92
0.2202340775194074,94
0.3205605870457265,91
0.3060796657441298,91
0.30649477361613475,93
0.26710596938289444,90
0.2444252407805016,94
0.14962412198421554,95
0.30837425730130974,92
0.28578054724269647,91
0.28455196945391376,91
0.26075636350192694,92
0.4649546327495676,85
0.5183230887513016,88
0.20454646786653022,92
0.32575777413474233,89
0.43979734784735086,84
0.33508764029259,91
0.23977580903030316,92
0.2808586440102208,93
0.24364005351279006,92
0.25197059993465304,94
0.3869474728908604,88
0.358656033111094,89
0.40287104286037523,91
0.35956812113851866,87
0.2804420400872244,89
0.1385722208276628,96
0.14448055052387854,96
0.37790104146102493,89
0.21608586300895508,96
0.32304176257681716,90
0.24897015516360932,93
0.25393713292150316,92
0.2559259386470666,92
0.2598603383063178,93
0.2985807837733397,92
0.6094101879806697,85
0.21743137166030643,94
0.2722382822465839,93
0.249426955284408,93
